,No,page,nick,time,content,area,ip,length,against,agree,channel,hot,level,login_type,media_type,mid
88,89,5,青藏高原的空间_ttd,2018-08-26 12:11:48,什么行业都有不法之徒，走路都可能遇到只是怎么去管理的问题，应该来一次严打了，中国的教育观念有问题,四川南充,171.213.123.175,48,1535256708,0,cj,0,0,0,0,5B822883-ABD57BAF-43B7F143-917-8F9
89,90,5,喜欢大千,2018-08-26 12:10:20,赔款罚款必千万以上，否则不能引起商家重视。,北京,219.143.94.155,21,1535256620,0,cj,0,0,0,0,5B82282B-DB8F5E9B-649CB541-917-93A
90,91,5,nxzhm1205,2018-08-26 12:00:28,"昨天带儿子搭车,想了想还是打了神州自营",福建泉州,223.104.45.65,19,1535256028,0,cj,0,0,0,0,5B8225DC-DF682D41-3E15B27C-917-867
91,92,5,GunnyMei,2018-08-26 11:42:22,空姐出事后，滴滴竟然没有优化他的时间处理能力，不把人命当回事啊，才刚刚过去三个月啊，建议这次从重处罚滴滴，把滴滴往死里整的举个手，点个赞！,海南儋州,112.66.27.255,69,1535254942,25,cj,0,0,0,0,5B82219D-70421BFF-D8F8A897-917-857
92,93,5,吴生29990,2018-08-26 11:35:31,建议大力发展公交事业，村村通公交是对的。,广东广州,120.230.85.177,20,1535254531,9,cj,0,0,0,0,5B822002-78E655B1-147857256-917-7FC
93,94,5,用户6374397619,2018-08-26 11:32:24,请问就算整垮这家公司，能够阻止犯罪吗？请统计一下每年出租车司机，黑车司机的刑事案件和侦破难度，滴滴曹操之类无疑是先进生产力要素，说话要负责任。司机犯罪公司老总承担刑事责任，多亏你不是法官或者人大法律委员会委员。,菲律宾,130.105.105.48,105,1535254344,55,cj,0,1,0,0,5B821F48-82696930-17BF196B3-917-935
94,95,5,李文良1444296381,2018-08-26 11:31:33,滴滴应该让本地人当司机，外地人参差不齐，难管理，再过五年，各地收入水平接近后再放开,云南昆明,117.75.64.217,41,1535254292,1,cj,0,0,0,0,5B821F15-754B40D9-561636BD-917-9A2
95,96,5,金牛座欣宜,2018-08-26 11:30:08,强烈建议关闭滴滴平台！！！！！！,湖北武汉,27.18.218.228,16,1535254208,9,cj,0,0,0,0,5B821EC0-1B12DAE4-1859AE072-917-8C1
96,97,5,地獄迗使Are,2018-08-26 11:29:30,让它趁早关门大吉，别再害人了,新疆乌鲁木齐,222.82.83.154,14,1535254170,11,cj,0,0,0,0,5B821E9A-DE52539A-753C0D48-917-8B2
97,98,5,_徐彬_,2018-08-26 11:28:14,应该停业整顿！约束疯狂的扩张，野蛮的发展！,江西南昌,182.101.55.18,21,1535254094,8,cj,0,0,0,0,5B821E4E-B6653712-466D68BA-917-8D7
98,99,5,用户6374397619,2018-08-26 11:28:10,请问，就算搞垮这个公司，能杜绝犯罪吗？,菲律宾,130.105.105.48,19,1535254090,1,cj,0,1,0,0,5B821E4A-82696930-17BF196B3-917-7C7
99,100,5,四川繁星,2018-08-26 11:27:44,滴滴是企业，监管部门呢？应该停业进行安全监管整改。,四川广元,119.5.213.189,25,1535254064,5,cj,0,0,0,0,5B821E2F-7705D5BD-50C75074-917-7D6
100,101,6,海艺灵,2018-08-26 11:26:52,这是最起码的，但客服根本没把这事看得很严重,重庆,106.86.173.249,21,1535254012,4,cj,0,1,0,0,5B821DFC-6A56ADF9-3F670BBD-917-7CF
101,102,6,用户6374397619,2018-08-26 11:26:52,就是一起刑事案件，并不可过度解读，希望警方统计公布一下多年以来出租车司机，黑车司机杀人案的数量，显示滴滴方式的先进性，现在滴滴一类公司的运行方式至少能够在短时间内锁定当事人，从各方面来讲是一种更先进的社会生产力要素。,菲律宾,130.105.105.48,108,1535254012,3,cj,0,0,0,0,5B821DFB-82696930-17BF196B3-917-771
102,103,6,牛仍未老,2018-08-26 11:21:46,同意文章观点，滴滴打车一出现，我就严禁女儿使用，要她尽可能坐公交，如果必须打车，要找传统的的士，为啥？基因和人性，我从来不相信男人在性问题上有什么道德，只有制约和隔离才生效，性犯罪有一半是机会性（或条件性）犯罪，也就是说，如果没有条件，那些男人可能终生都不会触发犯罪，但当一男一女同处一个狭窄空间，而这个空间又完全由男的掌控，特别是女的又年青漂亮，这就是触发条件，到了这时你还相信道德约束啥的话，你尽管让你女儿去试试。所以从这个角度看，滴滴打车这种东西是根本不应该存在的,广西南宁,182.90.218.33,235,1535253706,134,cj,0,0,0,0,5B821CCA-B65ADA21-3BB3C6F9-917-939
103,104,6,独孤奇怪,2018-08-26 11:15:31,那么你给我说说，传统出租车哪年哪月哪日，在某地，由某某司机对某某乘客实行了奸杀？说不出来你就是在网络造谣，是要承担责任的！,天津,125.37.113.77,61,1535253331,3,cj,0,1,0,0,5B821B53-7D25714D-55D7977E-917-954
104,105,6,cases2338515023,2018-08-26 11:08:38,罚50亿 让它不把人命当命，滴滴高层烨不敢坐自家顺风车。,广东深圳,115.44.219.211,28,1535252918,12,cj,0,3,0,0,5B8219B6-732CDBD3-8B62E84F-917-840
105,106,6,独孤奇怪,2018-08-26 11:08:01,没用！根本不可能！你太不了解滴滴黑车平台这样的企业了！他们根本不愿意雇佣大量的客服，客服就是用来敷衍你的。说穿了人家指望以后AI取代客服，自己只要掏电费就可以永远当富人了。,天津,125.37.113.77,86,1535252881,1,cj,0,1,0,0,5B821991-7D25714D-55D7977E-917-86F
106,107,6,独孤奇怪,2018-08-26 11:06:17,在国外肯定是这么判罚的，UBER也死过人最终被判赔偿家属几千万美元。,天津,125.37.113.77,34,1535252777,101,cj,0,1,0,0,5B821929-7D25714D-55D7977E-917-8B8
107,108,6,独孤奇怪,2018-08-26 11:04:50,按照你的逻辑干脆取消所有法律法规吧，反正会电死人的，反正汽车会撞死人的，反正有人会跳楼的，谁的责任无所谓了，以后继续电，继续撞，继续跳？出租车怎么管理失控了？你给我举个例子呗，哪年哪月哪日，某某出租车司机奸杀了某某人？,天津,125.37.113.77,109,1535252690,7,cj,0,3,0,0,5B8218D2-7D25714D-55D7977E-917-897
108,109,6,Aping的空间,2018-08-26 11:01:52,滴滴下架！！！,澳大利亚,202.125.25.113,7,1535252511,8,cj,0,0,0,0,5B82181F-CA7D1971-4E9956AD-917-91E
109,110,6,独孤奇怪,2018-08-26 11:01:04,中国出租车几十年历史上就两起，第一起是套牌出租车，第二起是借别人的车干的。,天津,125.37.113.77,37,1535252464,9,cj,0,2,0,0,5B8217F0-7D25714D-55D7977E-917-948
110,111,6,独孤奇怪,2018-08-26 10:59:24,制度和技术完全可以起到规避犯罪的效果，但是需要付出的代价是大量的金钱！滴滴黑车平台第一没有遵守制度，制度明确规定不允许给黑车派单，而滴滴派单的车辆90%以上都是黑车！第二滴滴不愿意为乘客的生命财产付出更多的金钱去雇佣客服。以上两点足以证明不是什么人心叵测导致的悲剧，而是完全由滴滴这种黑心资本组织非法营运酿成的悲剧！,天津,125.37.113.77,158,1535252364,2,cj,0,0,0,0,5B82178C-7D25714D-55D7977E-917-955
111,112,6,少墨1635,2018-08-26 10:39:53,一个新兴行业的出现，从市场管理上我们已经输了，因为我们的责任部门往往反应迟钝，这种迟钝是老爷作风的延续，若不出现了火烧眉毛的事，部门不会主动启动管理活动，职能转变还不够深入，营造经营环境不是嘴上说说就能实现的。,江苏苏州,112.3.198.152,105,1535251193,2,cj,0,0,0,0,5B8212F9-7003C698-4E012DBA-917-842
112,113,6,minaikim,2018-08-26 10:36:45,支持取缔滴滴这样的犯罪平台,新疆乌鲁木齐,124.117.153.225,13,1535251005,1,cj,0,0,0,0,5B82123D-7C7599E1-47930469-917-8C2
113,114,6,人生即管理,2018-08-26 10:30:20,连道歉都是派出一个小喽喽，公司的高层都看不见，可见这家公司之冷血，价值观之扭曲！！！为什么参加互联网大会、参加各种论坛时企业的老大那么精神？现在缩到哪去了？连出来给被害人的家属鞠躬致歉的勇气都没有了吗？,北京,123.116.204.111,101,1535250620,2,cj,0,0,0,0,5B8210BC-7B74CC6F-17B4941FB-917-91C
114,115,6,qqqmecn,2018-08-26 10:30:16,取消这种违法经营的所谓杀人滴滴和顺风车之类的经营权，,广西梧州,182.90.5.172,26,1535250616,1,cj,0,0,0,0,5B8210B8-B65A05AC-44650A1F-917-804
115,116,6,rzrs520,2018-08-26 10:25:37,驱逐“滴滴”出中国！,北京,114.249.57.97,10,1535250337,20,cj,0,0,0,0,5B820FA1-72F93961-74352F9E-917-827
116,117,6,福禄太子,2018-08-26 10:20:06,问问受害者周边的女人，还敢不敢一个人叫滴滴？滴滴就不该生存，现在已经是鸦片中毒，产业链形成了，后果出来了，相关利益方管理者开绿灯者难看了，出租车是有部分不规范，但是也没有烂这这份上，这个行业就不是老鼠屎的问题了。,上海,223.104.210.115,106,1535250006,20,cj,0,0,0,0,5B820E55-DF68D273-68E7F065-917-876
117,118,6,ZY公民,2018-08-26 10:18:47,滴滴公司必须全网公布滴滴司机的车型、车号、及姓名。接受全社会的监督。,北京,59.109.104.161,34,1535249927,21,cj,0,0,0,0,5B820E07-3B6D68A1-8C30DA0F-917-8AA
118,119,6,放开一切97697,2018-08-26 10:13:53,一个公众公司，盈利性的公司，不能什么人只要有一台车就能加入，必须对司机身份严格审理，必须对乘客安慰负责，这件事是的处理，可以按照美国的处理方式，对平台处以重罚，已经涉及到生命了，发个几十亿，都不过分，享受了资源，必须有义务，没有法律空子擦边球，不管什么人，什么背景，必须一视同人，建议受害者家属，法院打官司，控告平台公司，，，，，,湖北武汉,27.17.252.45,165,1535249633,10,cj,0,1,0,0,5B820CE0-1B11FC2D-13B559EFC-917-86D
119,120,6,用户6575379619,2018-08-26 10:12:53,取消滴滴是因噎废食。滴滴还能通过手机号找到司机，出租车管理更是失控。如果触电死亡取消发电站，汽车撞死人了，取消汽车厂，有人跳楼了，把楼拆了？,浙江杭州,124.90.168.155,70,1535249573,68,cj,0,2,0,0,5B820CA5-7C5AA89B-187EC54A3-917-924
120,121,7,山西老虎007,2018-08-26 10:10:36,滴滴不好好干，势必连累大量的司机,广东珠海,120.239.197.174,16,1535249436,5,cj,0,0,0,0,5B820C1C-78EFC5AE-83BBAF37-917-8EB
121,122,7,放开一切97697,2018-08-26 10:08:47,3倍的人身伤害赔偿与相应的法律责任，对于滴滴这样的独角兽企业来说      就是钻法律空子，打政策擦边球，应该借鉴美国惩罚制度，发个几十亿，不为过，,湖北武汉,27.17.252.45,74,1535249327,24,cj,0,0,0,0,5B820BAE-1B11FC2D-13B559EFC-917-92F
122,123,7,divining_bo,2018-08-26 10:08:39,如果滴滴的人再第一次接到询问的时候，给滴滴司机打个电话，警示下滴滴司机，是不是这个人会不会就没事了？,北京,119.90.82.166,50,1535249319,23,cj,0,0,0,0,5B820BA8-775A52A6-54127BEB-917-7E7
123,124,7,江湖人称蒋小白,2018-08-26 10:07:37,带着血的馒头吃着就这么香吗，滴滴？不怕哪天报应,安徽芜湖,36.63.177.137,23,1535249257,9,cj,0,0,0,0,5B820B69-243FB189-C0A2C847-917-8C2
124,125,7,用户6018918203,2018-08-26 10:02:34,问题是打滴滴的人多数是女性，而开滴滴的司机多数是男性,广西贵港,171.111.201.79,26,1535248954,3,cj,0,1,0,0,5B820A39-AB6FC94F-166C1673B-917-8A6
125,126,7,千古幽人_81321,2018-08-26 10:00:10,现在很多滴滴司机跑车都是有目的的，很多的目的只有一个：猎艳！,内蒙古呼和浩特,1.31.114.223,30,1535248810,114,cj,0,0,0,0,5B8209A9-11F72DF-14DFFD2F6-917-8BF
126,127,7,张良借箸灬,2018-08-26 09:47:41,你们有时间买水军，为何不提高服务质量，垄断罪恶！关闭滴滴，人人有责！,北京,111.193.4.67,34,1535248061,37,cj,0,2,0,0,5B8206BD-6FC10443-70B2C57B-917-8D0
127,128,7,走过路过有深度,2018-08-26 09:43:52,不是说美国好，但在美国发生这样的悲剧，估计滴滴公司会被罚到破产！,上海,114.84.51.227,32,1535247832,6,cj,0,0,0,0,5B8205D8-725433E3-15CABE865-917-9BA
128,129,7,用户4278825600,2018-08-26 09:43:20,应该用处理长生生物的办法严惩！,浙江杭州,36.23.84.119,15,1535247799,2,cj,0,0,0,0,5B8205B8-24175477-14982C868-917-8F0
129,130,7,诗书棋酒,2018-08-26 09:39:35,必须严惩，必需严格监管！,河北沧州,221.195.39.172,12,1535247575,75,cj,0,0,0,0,5B8204D8-DDC327AC-16690FEBD-917-901
130,131,7,粗茶淡饭111,2018-08-26 09:31:48,再不严惩，滴滴就是个犯罪平台！,湖北武汉,27.18.219.24,15,1535247108,537,cj,0,0,0,0,5B820303-1B12DB18-53FB33CB-917-8C7
131,132,7,Escante_Tony_482,2018-08-26 09:25:51,除了完善入门规则，滴滴应该开辟一条安全专线电话，这条电话不适用于加急标红的愚蠢规则，与警方保持联络并只向警方提供该车所在信息。其实滴滴和共享单车都没有错，错在一是规则不健全，二是中国平均素质水平低，太超前了,北京,114.245.149.16,103,1535246751,13,cj,0,0,0,0,5B82019F-72F59510-A149D1FD-917-8D3
132,133,7,老是往前走的小黑马,2018-08-26 09:16:48,这应该只是出租行业成长过程中必然会出现的安全问题。犯不着对这个行业大加责伐。只是滴滴在聘用人员的环节还需提高审核标准及加大审核力度！！！过去几十年当中，传统出租车行业也发生过不少安全事例，大家也没说是出租车行业要不得吧！,江西赣州,59.55.43.8,110,1535246208,4,cj,0,0,0,0,5B81FF7F-3B372B08-3BAA68B6-917-8B7
133,134,7,yangmingxp,2018-08-26 09:16:09,"这种汽车绑架杀人，和美国人拥有枪支一样，当一个人变坏时，他的犯罪手段、能力都得以提升，如果一个人没有枪，那么他只能短距离攻击别人，有时候还必需力气比别人大，遇到一个格斗高手不能得逞，而有了枪之后，罪犯远距离就能攻击别人，致人于死地。
车和枪也是一样，车让一个人能把另外一个人从闹市绑架到郊外。",浙江杭州,125.122.247.132,146,1535246169,1,cj,0,0,0,0,5B81FF59-7D7AF784-BD288872-917-8C0
134,135,7,水瓶座的咸鱼翻身,2018-08-26 09:09:54,滴滴是某个人的奶酪吧，不然早就取消了，在中国，邪真的能胜正！,辽宁大连,116.3.111.180,30,1535245794,23,cj,0,0,0,0,5B81FDE2-74036FB4-1737F3EED-917-843
135,136,7,东风烈1,2018-08-26 09:08:48,监管不严，罪责难逃！,山东潍坊,221.1.105.204,10,1535245728,21,cj,0,0,0,0,5B81FDA0-DD0169CC-62A58195-917-878
136,137,7,用户186****4873,2018-08-26 09:08:15,建议配置专职人工客服专员，专门处理报警等紧急事件。,北京,114.240.91.179,25,1535245695,3,cj,0,0,2,0,5B81FD7F-72F05BB3-595CF18D3884EFCA-917-960
137,138,7,远山老丈,2018-08-26 09:08:11,为了一己之私，置乘客人身安全于不顾，这样的企业文化是怎么养成的？柳青还好意思稳坐钓鱼台？不想身败名裂就快快辞职吧！,辽宁大连,124.93.197.165,57,1535245691,26,cj,0,0,0,0,5B81FD7A-7C5DC5A5-B3001BEB-917-86D
138,139,7,共伞人,2018-08-26 09:05:31,这次纯粹是滴滴的责任，在朋友报警的情况下滴滴还不能及时配合，借口保护滴滴司机的隐私，既然都出来拉客了车牌和姓名还有什么要保护呀？司机的车牌都要保护那谁来保护乘客的生命呢？这次滴滴必须付出代价给死者一个交代，给全国人民一个交代！,浙江舟山,113.214.221.114,113,1535245531,124,cj,0,0,0,0,5B81FCDC-71D6DD72-3E56B1E7-917-7DE
139,140,7,jorkw,2018-08-26 09:03:13,就想知道类似的事情如果发生在欧美日等发达国家，对于这种相关公司的处罚力度会如何！？,北京,111.201.211.137,41,1535245393,8,cj,0,0,0,0,5B81FC51-6FC9D389-54281265-917-842
